,,,,,,,,,,,,,,,,,,,
Lauren,spent 2h making it this bad,,,NGC 3019,Casio Cascade,https://ngc3019.bandcamp.com/track/casio-cascade,,,,,,Stoic,Broken Record,,,,,,
liquidkey,glass half full,,,Viiri,Faced With the Pardox,,,,,,,Durkl,Liveset Preview,,,,,,
nedogled,solar panels will not save us,,,Kevin Thorsen,Polytopia,,,,,,,Edwin,Pyrite mining,https://khaotomsunrise.bandcamp.com/track/pyrite-mining,,,,,
NGC 3019,Low Vapour Pressure,https://ngc3019.bandcamp.com/track/low-vapour-pressure,,jungle pickle,Purple Skies,https://soundcloud.com/jungle-pickle/purple-skies-1,,,,,,Equals Equals,Worth The Tape,,,,,,
Plesiotone,The Pumpkin Beer Microwave Incident,,,stoic,rinsomaton,,,,,,,Nornec,F# At The End Of Time,https://nornec.bandcamp.com/track/f-at-the-end-of-time,,,,,
Sparga,Song of the Sad Screwdriver,,,Nornec,Space Walk,https://nornec.bandcamp.com/track/space-walk,,,,,,Default Media Transmitter,Flood Slog,https://soundcloud.com/defaultmediatransmitter/flood-slog,,,,,
stoic,Sephrim 9,,,informationcake,Top Of The World,https://informationcake.bandcamp.com/track/top-of-the-world-2,,,,,,NGC 3019,Meteroite,https://ngc3019.bandcamp.com/track/meteorite,,,,,
Theodore Snoozevelt,the high price of clownery,https://soundcloud.com/snoozevelt/the-high-price-of-clownery,,Innate Distance,Undercover,,,,,,,fulhjort,Urgent Build,,,,,,
Thomas and the Evil Computer,Low Job,,,Heavy Listening,Waiting Here For You,https://heavylistening.substack.com/p/february-waiting-here-for-you,,,,,,Jungle Pickle,Metamorphic,https://soundcloud.com/jungle-pickle/metamorphic,,,,,
Viiri,Mmoni,,,Default Media Transmitter,What happens if I do this?,https://soundcloud.com/defaultmediatransmitter/what-happens-if-i-do-this,,,,,,Ashley Chapman,Head Thunder,https://soundcloud.com/user308437765/head-thunder-april-sim-selections,,,,,
Wonky Robot,Dancing Alone,https://soundcloud.com/malte-hansen-985974512/wonky-robot-dancing-alone-sim-selection-january-2022,,Wonky Robot,Riff On Past Self,https://soundcloud.com/malte-hansen-985974512/wonky-robot-riff-on-past-self-sim-selection-febuary-2022,,,,,,Thomas And The Evil Computer,Sim Systems,,,,,,
ZeroApr,Bwrrrang Town,https://soundcloud.com/charles-ginsberg/bwrang-town-final,,Adam Johan Bergren,Dance of Ideas,https://adamjohanbergren.bandcamp.com/track/dance-of-ideas,,,,,,informationcake,Another World,https://informationcake.bandcamp.com/track/another-world-i,,,,,
,,,,ipso,Thump,https://soundcloud.com/ipsotheque/thump-where-the-lost-balloons,,,,,,Ipso,Tfom 2022 Excerpt,,,,,,
,,,,Edwin,Tip Top Shape,,,,,,,Gero,(video submission),,,,,,
,,,,Anthony Brechbill,(video submission),,,,,,,,,,,,,,
,,,,Jungle Pickle ,(video submission),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
May,https://www.youtube.com/watch?v=47L1LTpTk9Y,,,June,https://www.youtube.com/watch?v=AweJWnsiEtw,,,July,https://www.youtube.com/watch?v=ouiuVOBBdaI,,,August,https://www.youtube.com/watch?v=ea0KZ0QgGrs,,,Samples provided for August's optional challenge,,,
"Theme: Pluto. Keywords: Alluring, Ablaze",,,,"Theme: Watery Eyes. Keywords: Rustic, Spotless",,,,"Theme: Survival On Mars. Keywords: Worthless, Broken.",,,,"Theme: Trust. Keywords: Brown, Wise",,,,(not in the same order as the playlist),,,
Optional Challenge: Think in reverse: Make a track and then flip the waveform -- use this flipped version as your submission,,,,Optional Challenge: Write a theme song for your favourite fictional character,,,,Optional Challenge: Write your song in 11/16,,,,"Optional Challenge: Find someone on the Discord server willing to give you a recorded sample of anything they choose. Use this in your piece, but don't discuss your ideas with them beforehand.",,,,"Adding your samples here implies they are free to use by anyone, royalty free, as long as you give credit",,,
Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Sample provider,Description,Link to sample,Used in/by
Jungle Pickle,A real jungle pickle,https://soundcloud.com/jungle-pickle/a-real-jungle-pickle,,Tranendal,Zo Droog Als As,,,Acrid Meteors,Raining Down on Mars,https://soundcloud.com/d-r-m-r/acrid-meteors-raining-down-on-mars,,Edwin,An Oddity,,,err: Rawr,Sounds recorded while making a chilli,https://www.dropbox.com/scl/fo/hjpexpwf89csxcvac8le7/h?dl=0&rlkey=xqbx2mqqwn8olo7i78gv0r5zv,Mia Moon
fulhjort,Binds,,,Adam Johan Bergren,Ishmael's Lament,https://adamjohanbergren.bandcamp.com/track/ishmaels-lament,,Aplut,Never Skip a Beat,https://youtu.be/vqoC9oEstaw,,catatronic & Sparga,Trust,https://drive.google.com/file/d/1p-o0z8Zcn8iCrPcDnvf5MT_wuVmOoHPc/view?usp=sharing,,err: Rawr,Sample bloops of various semi modular synths,https://www.dropbox.com/scl/fo/4cu2erfpdp6m4fdg7zyjl/h?dl=0&rlkey=vg7vksmozvq9cguc80u7zhqoq,
Ashley Chapman,Careless Trip,https://soundcloud.com/user308437765/careless-trip-may-sim-selections,,informationcake,Falling Through,https://informationcake.bandcamp.com/track/falling-through-2,,Dream Static,Rust Breathers,,,Default Media Transmitter,Aether,https://soundcloud.com/defaultmediatransmitter/aether,,informationcake,"Glass sounds, mister spray bottle, piano improv, and a sequence on the Medusa",https://drive.google.com/drive/folders/1474kYBbt6MNk64kR9Gpjgh7HrztT7yqk,
Popbot,Craters,https://drive.google.com/file/d/1vSIWIM7zZBEKgKMuaQUbbZa83I80zlc2/view?usp=sharing,,Default Media Transmitter,Impermenance,https://soundcloud.com/defaultmediatransmitter/impermanence,,Adam Johan Bergren,Dynamic Situation Survival Simulation,https://adamjohanbergren.bandcamp.com/track/dynamic-situation-survival-simulation,,DRMR,Talk About Trust,https://soundcloud.com/d-r-m-r/talk-about-trust,,Wonky Robot,Sampled Beads doing its thing with a wonky wavetable,https://drive.google.com/drive/folders/1LDtOminrJtUghQhvlh1d61fcS6qYTXSR?usp=sharing,Jungle Pickle
err rawr,Reverse the random,,,Popbot,Grist,https://soundcloud.com/popbot1/1-popbot-grist/s-zewidRsQzmz?si=5d4f0c033d574407826545d97bd64b0d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Krank Gronker,Extinct Lifeform Findings,,,err: Rawr,Fleeting Love,https://open.spotify.com/track/7jhewPfOa0T0oqTu8rm5uB?si=oi2x_7Y4RhyiDi7unl4pZQ,,Default Media Transmitter,Eurorack noodling,https://u.pcloud.link/publink/show?code=XZEO1QVZxG3mSBw86xLD2p7qKiz1LYWEca9X,Kevin Thorsen
First Sun,It's Not A Planet,,,Edwin,Flicking In The Woods,https://khaotomsunrise.bandcamp.com/track/flickering-beams-in-a-forest-of-stars,,Fractalint,Air is Thin,https://soundcloud.com/fractalint/air-is-thin,,informationcake,Unstable In The Twilight,https://informationcake.bandcamp.com/track/unstable-in-the-twilight-2,,Catatronic,A very cool descending pad-like sound ,,"Brain Termites, Popbot"
Durkl,Inferno,https://soundcloud.com/durkl1/inferno,,Stoic,Too Late,,,informationcake,With Me,https://informationcake.bandcamp.com/track/with-me-2,,Krank Grokker,Mandate,,,Aplut,Feedback-based noises,https://www.mediafire.com/file/9af0oms52l02caj,stoic
NGC 3019 & informationcake,Pluto,https://informationcake.bandcamp.com/track/pluto,,NGC 3019,Captain Solvander The Starship Commander,https://ngc3019.bandcamp.com/track/captain-solvander-the-starship-commander,,,,,,NGC3019,Thrust Issues,Thrust Issues | NGC 3019 (bandcamp.com),,,,,
Nornec,Kuiper noir,https://nornec.bandcamp.com/track/kuiper-noir,,Jungle Pickle,Tony,https://soundcloud.com/jungle-pickle/tony?si=51d3b5bf4349403185c4001f8e540b66&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,NGC 3019,Eleven of Sixteen Survive on Mars,Eleven of Sixteen Survive on Mars | NGC 3019 (bandcamp.com),,Popbot and Default Media Transmitter,Rommes,https://drive.google.com/file/d/11wM356HWa7KBYiQbtqfD1O66S3Heuq7I/view?usp=sharing,,,,,
MRDR,Between Pluto and Eris,,,Ipso & Nornec,One Hundred Acres,https://nornec.bandcamp.com/track/one-hundred-acres-feat-ipso,,Popbot,pocket-note,https://soundcloud.com/popbot1/2-popbot-pocket-note/s-amAfU39rtBc?si=6964e1060ca847cfb399370b8f66a7ea&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Pulse Static,Fmould Formation,,,,,,
Viiri,On the Far Side of the Solar System,,,Miya Moon,Miya In The Woods,,,Jungle Pickle,Screw Your Silly Time Signature,https://soundcloud.com/jungle-pickle/screw-your-silly-time-signature?si=489ca526c1d7470ab98b85ec803fea70&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Skyguide,Belleweather,To be released later!,,,,,
Edwin,Passing Pluto In Reverse,https://khaotomsunrise.bandcamp.com/track/passing-pluto-in-reverse,,Katt,Watery Eyes,,,Stoic,Predestined Movement,,,Stoic,Tension,,,,,,
Plesiotone,Plutonian Orbital Injection,,,Composite Complex,Valentines Memories,,,Coolout Coexist,Will Call When we Reach Mars,https://soundcloud.com/user-877170727/will-call-when-we-reach-mars,,Fractalint,Wisdom of Crowds,https://soundcloud.com/fractalint/wisdom-of-crowds,,,,,
Adam Johan Bergren,Precovery data Recovery,https://adamjohanbergren.bandcamp.com/track/precovery-data-recovery,,Err: Rawr,Love The Way She Smiles,,,Default Media Transmitter,Solemnity,https://soundcloud.com/defaultmediatransmitter/solemnity,,Dream Static and Nornec,It Must Be a Virus,,,,,,
Default Media Transmitter,Retrograde,https://soundcloud.com/defaultmediatransmitter/retrograde,,fulhjort,Waaaaat,,,Fjaru,Last to Leave,,,Adam Johan Bergren,Deep Inelastic Scattering,https://adamjohanbergren.bandcamp.com/track/deep-inelastic-scattering,,,,,
Michael Henry,Pluto Soundtrack,,,Aplut,"Simple Feeling, Simple Thought",https://youtu.be/8kIFlCSSM7E,,Herr Shield,A Billionaire's Fever Dreams,,,Duck Propaganda,Bjodda,,,,,,
CataclystP,Eventide on a distant horizon,,,Herr Shield,Watery Eyes and a Rustic Smile,https://www.youtube.com/watch?v=4zCgY4MD9Y8,,Kevin Thorsen,Every Butterfly,https://soundcloud.com/kevinthorsen/every-butterfly?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,,,,,,,
Sparga,Brain on Ice,,,Ipso & Nornec,Wanderer,,,Nornec,Cold and Alone,,,Heavy LIstening,Scissors Runner,https://heavylistening.substack.com/p/august,,,,,
Dream Static,The Great Decay,,,,,,,Skyguide,Cold as Hell,https://youtu.be/LzVjWLcVLN4,,Mia Moon,Kitchen Nightmares,,,,,,
ipso,Cityside Twilight,,,,,,,DRMR,The Phases of Phobos and Deimos,https://soundcloud.com/d-r-m-r/the-phases-of-phobos-and-deimos,,Popbot ,Brain Termites,https://soundcloud.com/popbot1/4-popbot-brain-termites/s-e5FR04c7bHC?si=e32eff8d808943c085d1700458bbf5c6&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,,,
Theodore Snoozevelt,You'll always be a planet in my heart,https://www.youtube.com/watch?v=eWA6LcxOzls,,,,,,Heavy Listening,Air on a Whale Tail,https://heavylistening.substack.com/p/july,,Stu M,Shinrai,https://soundcloud.com/stumcgregor/shinrai?si=9d8cfd17ddca4d9e81bdf5c0507d8c6f&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,,,
,,,,,,,,Just Below Purgatory,Demond Don't Survive on Mars,,,GRBT,Trust Fall,,,,,,
,,,,,,,,My Gloomy Machine,It Is Better to Die on Earh than to Live on Mars,,,Kevin Thorsen,Unfold,https://soundcloud.com/kevinthorsen/unfold,,,,,
,,,,,,,,Pulse-Static,Broken Form,,,Plesiotone,Loose Red Pill,,,,,,
,,,,,,,,Theodore Snoozevelt,A Failed Wager,https://soundcloud.com/snoozevelt/a-failed-wager-2,,Protocol,Round Of Trust,,,,,,
,,,,,,,,The Flashbulb,Childhood Loop,https://www.theflashbulb.co.uk/tba,,Takamoon,The Runaway Bunny,,,,,,
,,,,,,,,Hjorten,For Naught,,,Jungle Pickle,Baby,https://soundcloud.com/jungle-pickle/baby?si=809d4830c8cc4ace9e5d394a2c45cc6a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
September,https://www.youtube.com/watch?v=Z40pj-4Ky5c,,,October,https://www.youtube.com/watch?v=muiQ7Rxm8fU,,,November,Weeklystream94: SimSelections Listening Party! (November Edition),,,December,https://www.youtube.com/watch?v=KHqMsjKU3kk,,,,,,
"Theme: Abandoned. Keywords: One, Civil",,,,"Theme: Ancient Gods. Keywords: Far, Low",,,,Theme & Keywords,,,,"Theme: A Crack In Time. Keywords: guarded, helpless",,,,,,,
"Optional Challenge: Create a piece of music at 106 bpm, in the key of G, with tuning at A440",,,,Optional Challenge: Describe a being with sound/music whom would otherwise be indescribable by words.,,,,Optional Challenge: Use Benn's supplied Bass riff,,,,Optional Challenge:  Time is of the essence. Time is an illusion. Time is money. Time flies.,,,,,,,
Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,,,,
Jungle Pickle,Rock Music,,,Popbot,Organic Machine,https://soundcloud.com/popbot1/organic-machine-3/s-CEZa1zvmWon?si=61b9c9a7d9b64a7b96547dc6ceb25d0a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Tranendal,Totaal In De Rats,,,err: Rawr,Time and Time,,,,,,
stoic,Dandelion dreams,https://chewy.skin/dandelion_dreams.mp3,,Undercover,Recurrent Narrative,,,informationcake,Between The Stars,https://informationcake.bandcamp.com/track/between-the-stars,,Zero Lucks Given,Recocooning,https://zerolucksgiven.bandcamp.com/track/recocooning,,,,,
informationcake,One Hour, ,,Stu M,Helios,https://soundcloud.com/stumcgregor/helios?si=20bba2ef55294110a0bbb13ba1005e2e&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Benn Jordan,Reharmatron,,,Viridian,Lost in the passage of time,,,,,,
Heavy Listening,In a September Groove,https://heavylistening.substack.com/p/in-a-september-groove,,Blipfactory,Bakunawa,,,Jungle Pickle,It Took A Cat To Figure It Out,https://soundcloud.com/jungle-pickle/it-took-a-cat-to-figure-it-out?si=e146bbe40cbe4c0fae5e6c1536f8d899&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,PonyArt,FRMS Aphex,https://www.dropbox.com/s/50630038fnpbz0y/PonyArt%20-%20FRMS%20aphex%20SM1.1.wav?dl=0,,,,,
Eukan Happonen,Kuistilla,,,Skyguide,Bellows From Below,,,Catatronic,Dunes Of Glass,,,Adam Johan Bergren,Nonlinear Awareness,https://adamjohanbergren.bandcamp.com/album/dissipation-dynamics?t=1,,,,,
Broken Gravity,Approaching The Derelict,https://soundcloud.com/broken-gravity/approaching-the-derelict/s-jCcidtMeGto?si=f8e4abbedac249cdbbf4e7a34ebfe13a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Mia Moon,Esja,,,Adam Johan Bergren,Elmo's Rave,,,jungle pickle,A cracking good time,https://soundcloud.com/jungle-pickle/a-cracking-good-time?si=be3b94fc462a48659849cc08895665a7&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,,,
Default Media Transmitter,Too Late To Cash In,https://soundcloud.com/defaultmediatransmitter/too-late-to-cash-in,,Heavy Listening,Rob D Ripoff,https://heavylistening.substack.com/p/october-a-rob-d-ripoff,,Stu M,Baslp,,,Stu M,Kaloan,,,,,,
Plesiotone,New Sk8er Shoes,,,Nornec,Sloth God,,,err: Rawr,Splitfired,,,Fjaru,Terminal Pinch,,,,,,
Blip Factory,Isolate 106,,,Adam Johan Bergren (ft. Jungle Pickle),Cherenkov Therapy,https://adamjohanbergren.bandcamp.com/track/cherenkov-therapy,,Fractalint,Night Train NYC,https://soundcloud.com/fractalint/night-train-nyc,,Takamoon,Pay Day,Pay Day | Takamoon (bandcamp.com),,,,,
Menhirs,Server Room Is A Forest,https://soundcloud.com/menhirs/server-room-is-a-forest?si=58f0e30732234db18a0fab8fa46ba4ce&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Dream Static,"Harmonia, Goddess of Harmony and Concord",,,Edwin,Bronson Nights,,,Catatronic,Time Immemorial,,,,,,
Fractalint,Donte tu,https://soundcloud.com/fractalint/donte-tu,,catatronic,self titled track,,,fulhjort,Part2,,,Firephly,A Fracture in Time,,,,,,
Sparga,RSI March,https://soundcloud.com/sparga1/rsimarch,,stoic,float askew,,,Equal Equals,It's Called Fate Or Club Fake,,,Nornec,A Distant Memory,,,,,,
Catatronic,Wind Guitars,,,Takamoon,Zorya,Zorya | Takamoon (bandcamp.com),,Skyguide,What If It Was Purple?,,,NGC 3019,Flux Capacitor,,,,,,
Stu M,Cast Aside,https://soundcloud.com/stumcgregor/stu-m-cast-aside-mp3?si=5388a87a5bc24229965d38c84285cc48&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Zero Lucks Given,The Morrigan Waits,https://zerolucksgiven.bandcamp.com/track/the-morrigan-waits,,Heavy Listening,November Funk,https://heavylistening.substack.com/p/november-funk,,Popbot,Metronome,https://drive.google.com/drive/folders/1ukaUZ9RBhXKtz-uT07qOW08NPvzOA1GF?usp=share_link,,,,,
NGC 3019,Spacewalk Jettison,https://ngc3019.bandcamp.com/track/spacewalk-jettison,,Adam Johan Bergren,150000,https://adamjohanbergren.bandcamp.com/track/fifteen-thousand,,NGC3019,Heterodyne,,,Ipso,Ceramic,,,,,,
Thomas And The Evil Computer,Quaternion,https://soundcloud.app.goo.gl/pQ15V,,PonyArt,FRM Guitar,https://www.dropbox.com/s/0dtrsgbz4uc5y67/PonyArt%20-%20FRM%20guitar%20SelfMaster1.wav?dl=0,,Zero Lucks Given,Robots Can Dance,https://zerolucksgiven.bandcamp.com/track/robots-can-dance,,fulhjort,ASRGAERBGAERG,,,,,,
"err, Rawr",Why Iwato,https://soundcloud.com/err_rawr/sets/the-journey-begins?si=583dbb5502fd4accb9a5ed49341a2669&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Fractalint,Talos,https://soundcloud.com/fractalint/talos,,Thomas And The Evil Computer,Crazy About Chickens ,https://youtu.be/AKvFoW9Jd0U,,Pulse Static,End,,,,,,
Krank Grotter,Impoverished hotdog vendor with rich inner life,,,Theodore Snoozevelt,Ex Chao,https://soundcloud.com/snoozevelt/ex-chao,,,,,,Default Media Transmitter,Fluctuations,https://funkwhale.defaultmediatransmitter.com/library/tracks/14/,,,,,
DRMR,Together In Solitude,,,Wonky Robot,Divine Rising,,,,,,,Sleep Television,2016,,,,,,
Takamoon,Audite!,,,NGC 3019,Tekhne,Tekhne | NGC 3019 (bandcamp.com),,,,,,Theodore Snoozevelt,De_Theo,https://soundcloud.com/snoozevelt/de_theo,,,,,
Adam Johan Bergren,Friendly Fairground Phantom,https://adamjohanbergren.bandcamp.com/track/friendly-fairground-phantom,,Tranendal,Na Ons De Zondvloed,,,,,,,Ashley Chapman,Run Theory,,,,,,
Kevin Thorsen,Velvet Enclave,https://soundcloud.com/kevinthorsen/velvet-enclave,,err Rawr,Wildling,https://soundcloud.com/err_rawr/err-wildling/s-0PUFE2mDB5V?ref=clipboard&p=i&c=1&si=7BEC33EEDF544DECBF9978EE6DC28799&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,,,,Edwin,LFO Valley,,,,,,
fulhjort,Earth And Ground,,,,,,,,,,,Skyguide,Slumberland,,,,,,
Popbot & Dreamstatic,Awakening,,,Krank Grokker,TV Salesman Experiencing Existential Crises in San Francisco,,,,,,,informationcake,My Timelapse,https://informationcake.bandcamp.com/track/my-timelapse,,,,,
Zero Lucks Given,7am Zoom Meeting No Coffee,https://zerolucksgiven.bandcamp.com/track/7am-zoom-meeting-no-coffee,,Kevin Thorsen,Pastoral 9-Volt,https://soundcloud.com/kevinthorsen/9-volt-pastoral,,,,,,Heavy Listening,Mellow Blue,https://heavylistening.substack.com/p/december-mellow-blue,,,,,
Skyguide,All The Best Players Are Russian,,,ANODE,Closeyes,,,,,,,Stoic,Time to Move on,,,,,,
,,,,Thomas and the Evil Computer,Tickle Me Erasmus of Formia,https://soundcloud.com/evilcomputer/tickle-me-erasmus-of-formia/s-GOEMPzEsLcD?ref=clipboard&p=a&c=1&si=240882c2471a4b3eb1740febce125fb0,,,,,,ZeroApr,In Machine I Trust,,,,,,
Nornec,"Guitech, Gesundheit",,,Sparga,Fraction,,,,,,,Fractalint,Perceptual Gate,https://soundcloud.com/fractalint/perceptual-gate,,,,,
informationcake,The Forever Path,https://informationcake.bandcamp.com/track/the-forever-path,,informationcake,An Ancient Presence,https://informationcake.bandcamp.com/track/an-ancient-presence-i,,,,,,,,,,,,,
_rchestra,Opal Decay,https://soundcloud.com/kevinthorsen/opal-decay,,Jungle Pickle,Forever God,https://soundcloud.com/jungle-pickle/forever-god?si=b57873a3d6af436caf338dffdbfb6c2d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,,,,,,,,,,,
Stoic & Fjaru & Acid Rain,The Song,,,,,,,,,,,,,,,,,,
Dream Static,Unempathy,,,,,,,,,,,,,,,,,,
Jungle Pickle,Alone,https://soundcloud.com/jungle-pickle/alone?si=b0de7a2c43dd49ed86bb474fdceda100&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,,,,,,,,,,,,,,,
Fjaru,Gravity Assist,,,,,,,,,,,,,,,,,,
