CHECK THE TABS AT THE BOTTOM FOR DATA FROM PREVIOUS YEARS,,,,,,,,,,,,,,,,,
KairoKunOngaku,Dilapidated Shrine,,,Adam Johan Bergren,Alter of Acid,https://adamjohanbergren.bandcamp.com/track/alter-of-acid,,Yesterday's Lazers (MMT mix),"If I stop time, you cant see me fall, but then where is up?",,,NASCEN7,Sentient Playground,,,,
zuggamasta,Simple Joys,https://zuggamasta.de/music/sim-sel/1/,,euskalduna,don't drink that,,,TallDarknWeirdo,The Mandelbrot Set,,,AmbientSpace x Christopher Sisk,"It was There, Then it Wasn't",,,,
Reark,Aurora,,,Doggo Shark (Fallacy Dice),Acid? Well I added the squeaky bits.,,,Peregrine (Cschweppe),Tidal Faults,,,Long Century of The Surreal,A Walled Garden,,,,
Cathartic Reunion,Continuation Day,,,Robert Redshaw,pH 5.555,,,Teapotahedron,Death of Time,,,Bottle Brush; Takamoon,NO GODS NO MASTERS,,,,
euskalduna,breathe in,,,Oobesan,Just Turnin Deez Knobs,,,Long Century of The Surreal,The One Who Will Eat,,,Poetry in Noise; AJ Bergren,Attention Economy-PIN Remix,https://adamjohanbergren.bandcamp.com/track/attention-economy-remix-by-poetry-in-noise,,,
Doggo Shark (Fallacy Dice),Recollections of Qualia,,,dotaistheworstgame,I took acid and went to get a burger,,,5XVT,Fractal the Future,https://www.youtube.com/watch?v=8dSwmxEVJSw,,fulhjort,Contesting the selective process,,,,
Chooko,Rain at the beach,,,Nornec,"Why, Doug?",,,Procrastronaut,GollyThatEventHorizonIsREALLYClose,,,moiko / Perlin,Qubit Collapse,,,,
Skitter,Birth of Sound + Eden + Corruption(1_2),,,kruvek,"Coterminous Discontinuation, Acerbic Station",,,STU M,mantle137,,,FSC x Stu M,In The Dark,,,,
The F3l1x,#2 - A walk by the beach,,,Depthbuffer,Reflux,,,poldu,The Beast of Many Colors and None,,,Infra / Mime Mining Corporation,Swamp Squirrel's Soirée,,,,
NASCEN7,Heart,,,Skitter,selfexec,https://soundcloud.com/skittermusic/too-little-time?si=0d5b8759939848ee914c15fe6fc61dfb&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,fulhjort,bennmar26d,,,Euskalduna; Saw Whet,Emergence,,,,
Stu M,Tiles,,,TheOwl84,Into the Ultrasound Range (feat. Benn Jordan),,,Poetry in Noise,Fractal Mass,,,Adam Johan Bergren,Aliens Are Demons,https://adamjohanbergren.bandcamp.com/track/aliens-are-demons,,,
Skybird,Breach the Depths,,,Mime Mining Corporation,La Campanella / Stanley Park,,,The Infra,Thin Air,https://soundcloud.com/the_infra/thin-air?si=d828baca8ba44c339bf6731ce4b016b1&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Skitter / Bjen,A Night In Your Arms,,,,
electrovesta,"Sorry, but I only had time for a SINGLE BLOOP_",,,,,,,Robert Redshaw,Zoom Out,,,Poetry In Noise,Binary Star,,,,
APBT (Charles Randall),Traveller (Interlude),,,,,,,NASCEN7,The Summit,,,stu m; PonyArt,MC On The Track,,,,
Robert Redshaw,BlooBle,,,,,,,kruvek,Reverse the Modularity of the Fractal Flow,,,Christopher Sisk x AmbientSpace,"It was There, Then it Wasn't",,,,
Takamoon,33 27 01,33 27 01 | Takamoon,,,,,,Saw Whet ft. Bjen,Singularity,https://app.boombox.io/app/shares/cOrPa6BWrpvjVYnAo,,SomethingAboutThings; Saw Whet,Ear Lily,,,,
TheOwl84,Spa in a Can,https://soundcloud.com/matthias-straka-1/spa-in-a-can,,,,,,,,,,Jungle Picklel / Poldu,Under A Box,,,,
edwin,stringstreet,,,,,,,,,,,deedsblankwin (deeds / dedblank / edwin),distraction,,,,
APBT (Charles Randall),This Universe,,,,,,,,,,,euskawin (euskalduna / edwin),artifact phase,,,,
Elossa,Guided meditation for a computer,,,,,,,,,,,Kwak;tabs,Squatting and Thinking However,,,,
Camino del Dragon,A phone call on the last day of a citric summer,,,,,,,,,,,"Paranautica, euskalduna",bathyal,,,,
PonyArt,b2 wip4,,,,,,,,,,,DYSTOP1AN,Duality,,,,
vetra miga,walk to the water,,,,,,,,,,,siskwin (Christopher Sisk / Edwin),half and half,,,,
Paranautica,What once was lost,,,,,,,,,,,"Frildoh, The Infra",mechanical brain,https://soundcloud.com/thesimfra/mechanical-brain,,,
TomNomNom,Electromagnetic Spectrum Disorder,,,,,,,,,,,jacketpocket,Evil Twin,,,,
Perlin,Waterwheel,,,,,,,,,,,"5XVT, Fallacy Dice",So Far,,,,
Ryan Spratt,Lancaster260129,,,,,,,,,,,,,,,,
poldu,Ohm,,,,,,,,,,,,,,,,
Adam Johan Bergren,Translational Mantra,https://adamjohanbergren.bandcamp.com/track/translational-mantra,,,,,,,,,,,,,,,
jacketpocket,SimpleSimSelSamplerSaxSketch,,,,,,,,,,,,,,,,
The Infra,Teeth,https://soundcloud.com/the_infra/teeth?si=cd694eff2dac4b5092abf826867aebce&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,,,,,,,,,,,,,
fulhjort,Relax (feat Jungle Pickle),,,,,,,,,,,,,,,,
Andrew Collinsworth,Zentecha,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
May,254: Monthly Listening Party,,,June,268: Listening Party Where We Kill Each Other - YouTube,,,July,,,,August,,,,,
"Theme:  Screaming. Keywords: Dense, Metallic",,,,"Theme:  Chance. Keywords: Fate, Coincidence",,,,"Theme:  Nature. Keywords: Connected, Earth",,,,"Theme: Pitch Black. Keywords: Lucifugous, Nocturnal",,,,,
"Optional Challenge:Use an irrational meter. You could also explore complex, additive, or mixed meters. If you can count to four you lose simselections.",,,,"Optional Challenge: Use randomising and probability tools across your DAW to create a track that sounds as different as possible with each playback. If you want a less technological challenge, roll dice every time you want to make a decision in the song writing process (e.g. bpm, notes, synths, bars to next section, etc).",,,,Optional Challenge: Get out and record nature.,,,,Optional Challenge: Write your song in the dark and use a lot of pitch bend.,,,,,
Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,,
Broken Gravity,The Launch of Sputnik,,,5XVT,Snake Eyes,https://www.youtube.com/watch?v=3wkqgvhghFI,,estes_,puddlejumper,,,,,,,,
Poetry in Noise,Meditations:Clusters,,,Skitter,Thinking in Patterns,https://soundcloud.com/skittermusic/thinking-in-patterns?si=89835369290b4b178e2d399588a896f0&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Bjen,Woolgathering,,,,,,,,
Heavix,Moth lights the flame,https://www.youtube.com/watch?v=rruLkkRlD0U,,euskalduna,partial coast,,,liquidkey,ocean debris,,,,,,,,
PonyArt,Voice Trance 7/8,,,edwin,dr. rando and his mad machines,,,jacketpocket,Splendor,,,,,,,,
Camino Del Dragon,A Heart Before The Knife,,,Christopher Sisk,Not Sure,https://music.christophersisk.com/simsel,,edwin,birds,,,,,,,,
Fine Structure Constant,Calculated Annihilation,,,NASCEN7,Meditation in Chaos (Finding Calm Edit),,,Doggo Shark (Fallacy Dice),What Was Once a Glade,,,,,,,,
Chooko;Arcticone,Anubis,,,Oobesan,The World Won't Do You Any Favors,,,euskalduna,"Orange Band, June 17, 1987",,,,,,,,
AmbientSpace,Meezer Swagger,,,STU M,ZHANG,,,5XVT,///Swanky.Future.Plankton,https://youtu.be/ZUqNdkm72i0?si=r7Jpo48258rKMcEO,,,,,,,
Jungle Pickle,Her Name Was Jody,,,Film for the Future,Down to a T1,,,dedblank,I think its gonna rain,,,,,,,,
Stu M,North Cap,,,tabs,A Walk on Uneven Ground,https://soundcloud.com/user-783179659/26-06-sim-selections-1of2-a,,Poetry In Noise,Plants Shall Inherit,,,,,,,,
Bjen,Laundry,,,shereen,"in the third act, we violate causality",,,Stu M,For the last,,,,,,,,
Spirit Unknown,Chromatic Surrogation,https://soundcloud.com/spirit_unknown/chromatic-surrogation?si=3f1c88faf48e4423b980a9a27834b54f&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Adam Johan Bergren,Chance Encounter,,,natas_liam,walk_in_a_park,,,,,,,,
Tabs,Beh Buh Boh,https://soundcloud.com/user-783179659/26-05-sim-selections,,PonyArt,Pure Grains,,,Heavix,Mothers tears,,,,,,,,
vetra miga,Farewell Echo,,,dedblank,rnd on rnd on rnd on rnd,,,Sean VanSickel,Shod Steps,,,,,,,,
Teapotahedron,Tetraphobia No. 4,,,Long Century of The Surreal,Run With Legs,,,NASCEN7,Stuck In The Ever,,,,,,,,
Peregrine (Cschweppe),Thresher,,,APBT (Charles Randall),Conjunction,,,Skitter,tailwhip,,,,,,,,
Prysm,City Nano,,,tabs,Generational Bad Luck,https://soundcloud.com/user-783179659/26-06-sim-selections,,ArcticOne,Waiting For Thunder (Heatwave Mix),,,,,,,,
Charles Randall,The Count,,,Christopher Sisk,It Could Go Either Way,https://music.christophersisk.com/simsel,,kruvek,atmosphere.wav,,,,,,,,
Arcticone;Chooko,Hornet,,,Poetry In Noise,Risky Disco,,,Storm,Slumber of the Frogs,,,,,,,,
Long Century of the Surreal,Alchemy,,,Heavix,Tookachance,,,bit.r.ist,"Rain, the Moon, and Me",,,,,,,,
Bit.R.Ist,I'm Sorry RDJ,,,poldu,Amethyst Fog,,,edwin,thunder,,,,,,,,
Robert Redshaw,Thick in the Middle,,,bit.r.ist,Creep & Breath,,,Peregrine (cschweppe),Of Nowhere,,,,,,,,
Adam Johan Bergren,Meltdown,,,fulhjort,Jag vet oftast inte,,,Robert Redshaw,The Rush,,,,,,,,
Saw Whet,Wolves,,,Muskox Archives,Geographic hit,,,Saw Whet,Quicksand,,,,,,,,
Paranautica; Euskalduna,In This House,,,NASCEN7,Something Familiar,,,edwin,windy,,,,,,,,
Dedblank,1274Scream,,,ArcticOne,WubDotRand(Apocalypse),,,frildoh,Nighteyes,,,,,,,,
Fulhjort,In Spire of Productivity,,,Spirit Unknown,The Snow in June,https://soundcloud.com/spirit_unknown/the-snow-in-june?si=5faeb5fc633040e7922f2466a47f2959&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,"Astar, a Robot",Boötes Void,,,,,,,,
Euskalduna,Faces,,,Poetry In Noise,BongosesReverbesesNoisum,,,Adam Johan Bergren,Exile,,,,,,,,
Jacketpocket,"Quantize, Humanize, Swing",,,Sean VanSickel,Dictatorial Pips,https://youtu.be/q10Z7TCzeMA?,,Oobesan,Vitthala Panduranga,,,,,,,,
Skitter,I Lost,https://soundcloud.com/skittermusic/in-freefall?si=5997c5789cbe469a8ca3e593fc51bd5e&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Peregrine,corrupt,,,Spirit Unknown,Rain Dance,,,,,,,,
TheOwl84,Trunkated Bars,,,jungle pickle,when the time comes,,,dedblank,Smokey Summer,,,,,,,,
Moiko,Playing The Game,,,Robert Redshaw,Inevitable,,,fulhjort,"Enough, soon enough.",,,,,,,,
Sean V,Hiroshima Dentist,,,frildoh,Kaladin,,,Softcore Toucan,Sidequest Stulle,,,,,,,,
Edwin,Summer Breeze Scream Dream,,,jungle pickle,go nuts,,,Oobesan,So Easy,,,,,,,,
Bottlebrush,4 x 4,,,,,,,tabs,A Walk at 0500 on 28th July 2026,https://soundcloud.com/user-783179659/26-07-sim-selections-a-walk-at,,,,,,,
Christopher Sisk,Hierophany,https://music.christophersisk.com/simsel,,,,,,Fine Structure Constant,Nature's Lament,,,,,,,,
,,,,,,,,kruvek,who_loves_the_rain.wav,,,,,,,,
,,,,,,,,Heavix,HennJordan,,,,,,,,
,,,,,,,,Christopher Sisk,The Fireflies Are Out Tonight,https://music.christophersisk.com/simsel,,,,,,,
,,,,,,,,jungle pickle,on a beach,,,,,,,,
,,,,,,,,Hunter the Gatherer,A Good Year (but maybe not for me),,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
September,,,,October,,,,November,,,,December,,,,,
Theme:  Keywords: ,,,,Theme:  Keywords: ,,,,Theme:  Keywords: ,,,,Theme:  Keywords: ,,,,,
Optional Challenge:,,,,Optional Challenge:,,,,Optional Challenge:,,,,Optional Challenge:,,,,,
Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,,
